"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Status"
"ATP6V0C",7.7718703777757e-53,3.76480468861321,0.966,0.69,1.56059157185736e-48,"Upregulated_in_diseased_group"
"PTPRCAP",1.51353629363336e-35,4.31056212967129,0.931,0.517,3.03918087761579e-31,"Upregulated_in_diseased_group"
"OVCA2",1.72838857865297e-34,2.31753675626468,0.931,0.241,3.47060426593517e-30,"Upregulated_in_diseased_group"
"LIME1",6.04313683598512e-26,3.53550386140365,0.931,0.621,1.21346187666581e-21,"Upregulated_in_diseased_group"
"UQCRHL",6.56864847958714e-25,2.53861177672416,0.931,0.655,1.3189846147011e-20,"Upregulated_in_diseased_group"
"NME2",3.26188955320037e-23,3.20550084301466,0.966,0.724,6.54987422282634e-19,"Upregulated_in_diseased_group"
"MIA2",2.40110160933059e-19,1.25439596652932,0.759,0.069,4.82141203153582e-15,"Upregulated_in_diseased_group"
"IFITM1",1.8494125386927e-18,3.67693047156537,0.966,0.862,3.71362037769493e-14,"Upregulated_in_diseased_group"
"TEN1",1.02331649632922e-17,1.05613506496632,0.724,0.448,2.05481952462907e-13,"Upregulated_in_diseased_group"
"SLC9A3",1.16271467555199e-14,1.21747154404458,0.724,0,2.33473106850839e-10,"Upregulated_in_diseased_group"
"GREM1",2.42792765007722e-12,0.416667173306284,0.621,0.31,4.87527872135505e-08,"Upregulated_in_diseased_group"
"MRPS24",2.53437904977686e-12,1.1993210327197,0.828,0.759,5.08903313195194e-08,"Upregulated_in_diseased_group"
"GPR25",1.2800296655324e-11,1.38768906992541,0.621,0.207,2.57029956838906e-07,"Upregulated_in_diseased_group"
"GSTM1",6.3316720205374e-11,1.0826212320938,0.793,0.724,1.27139974172391e-06,"Upregulated_in_diseased_group"
"WBP1",3.48773406438008e-10,1.50650307173374,0.828,0.655,7.00337000127519e-06,"Upregulated_in_diseased_group"
"RWDD3",3.80802171152203e-10,1.00243876861139,0.862,0.793,7.64650759673624e-06,"Upregulated_in_diseased_group"
"BSCL2",4.72590977010322e-10,0.923863208137621,0.724,0.69,9.48962681836726e-06,"Upregulated_in_diseased_group"
"ZGPAT",8.04671817564186e-10,1.31424728160767,0.828,0.621,1.61578100966889e-05,"Upregulated_in_diseased_group"
"GET4",8.12736069088477e-10,1.26430360527564,0.759,0.621,1.63197402672966e-05,"Upregulated_in_diseased_group"
"MIF",8.98375741074677e-10,1.74529299092713,0.966,0.897,1.80393848807795e-05,"Upregulated_in_diseased_group"
"CCDC71",7.53542480688491e-09,1.00480682009915,0.828,0.724,0.000151311330122249,"Upregulated_in_diseased_group"
"RMRP",1.23032511655037e-08,0.90368101827531,0.724,0.724,0.000247049283403314,"Upregulated_in_diseased_group"
"DBNDD2",1.61681042148177e-08,0.523530888553215,0.655,0.448,0.00032465553263354,"Upregulated_in_diseased_group"
"FOXP3",1.95113163325061e-08,2.20736889936912,0.862,0.655,0.000391787231956722,"Upregulated_in_diseased_group"
"ZNF749",2.0119156889642e-08,0.86578096280216,0.759,0.655,0.000403992670344012,"Upregulated_in_diseased_group"
"HMGN4",4.50112019568906e-08,1.29873768067155,0.931,0.828,0.000903824935294364,"Upregulated_in_diseased_group"
"ADORA2A",5.19497242317689e-08,0.726814016955448,0.69,0.483,0.00104315046257392,"Upregulated_in_diseased_group"
"PLCG2",1.32427511295956e-07,1.79828388906056,0.966,0.793,0.00265914442682279,"Upregulated_in_diseased_group"
"PDF",4.94654399082132e-07,0.596873622472197,0.655,0.448,0.00993266033356922,"Upregulated_in_diseased_group"
"DUSP4",5.78753226365043e-07,2.03930765168467,0.828,0.655,0.0116213647854101,"Upregulated_in_diseased_group"
"DPH1",7.00849607697028e-07,0.443597314625703,0.724,0.724,0.0140730601225563,"Upregulated_in_diseased_group"
"ATRIP",1.14535108810598e-06,0.57473605811132,0.724,0.379,0.0229986498491681,"Upregulated_in_diseased_group"
"TOMM5",1.41866937229712e-06,0.855929201449021,0.966,0.931,0.0284868809957262,"Upregulated_in_diseased_group"
"PSMB10",1.43007168410498e-06,1.41048037622773,0.931,0.828,0.0287158394168279,"Upregulated_in_diseased_group"
"COL6A3",1.5135699569365e-06,1.16624724516172,0.759,0.586,0.030392484735285,"Upregulated_in_diseased_group"
"CISH",1.70861318359902e-06,1.81754665055389,0.931,0.724,0.0343089527266684,"Upregulated_in_diseased_group"
"RPS26",1.83167457897982e-06,0.793402676347249,0.966,0.966,0.0367800255459148,"Upregulated_in_diseased_group"
"EIF5AL1",1.0162416899794e-11,-0.594900789728358,0.724,0.793,2.04061331347864e-07,"Downregulated_in_diseased_group"
